english,singular,plural,article,noun,x,y
Sequence,Die Abfolge,Die Abfolgen,Die,Abfolge,abfolge,1
Fragment,Das Fragment,Die Fragmente,Das,Fragment,fragment,2
Draft,Die Ausarbeitung,Die Ausarbeitungen,Die,Ausarbeitung,ausarbeitung,1
Diner,Das Speiselokal,Die Speiselokale,Das,Speiselokal,speiselokal,2
Function,Die Funktion,Die Funktionen,Die,Funktion,funktion,1
Organization,Die Organisation,Die Organisationen,Die,Organisation,organisation,1
Skeleton,Das Skelett,Die Skelette,Das,Skelett,skelett,2
Misery,Das Elend,(usually uncountable),Das,Elend,elend,2
Herb,Das Kraut,Die Kräuter,Das,Kraut,kraut,2
Stump,Der Stumpf,Die Stümpfe,Der,Stumpf,stumpf,0
Stake,Der Einsatz,Die Einsätze,Der,Einsatz,einsatz,0
Puff,Das Puff,Die Puffs,Das,Puff,puff,2
Creation,Die Schaffung,Die Schaffungen,Die,Schaffung,schaffung,1
Wake,Das Erwachen,Die Erwachen,Das,Erwachen,erwachen,2
Wizard,Der Zauberer,Die Zauberer,Der,Zauberer,zauberer,0
Mat,Das Matte,Die Matten,Das,Matte,matte,2
Seal,Die Dichtung,Die Dichtungen,Die,Dichtung,dichtung,1
Grunt,Das Grunzen,Die Grunzen,Das,Grunzen,grunzen,2
Punishment,Die Bestrafung,Die Bestrafungen,Die,Bestrafung,bestrafung,1
Clan,Der Clan,Die Clans,Der,Clan,clan,0
Copper,Das Kupfer,(usually uncountable),Das,Kupfer,kupfer,2
Debris,Der Schutt,(no plural form),Der,Schutt,schutt,0
Painter,Der Maler,Die Maler,Der,Maler,maler,0
Steering,Die Lenkung,Die Lenkungen,Die,Lenkung,lenkung,1
Math,Die Mathematik,(usually uncountable),Die,Mathematik,mathematik,1
Recognition,Die Anerkennung,(usually uncountable),Die,Anerkennung,anerkennung,1
Temper,Der Gemüt,(usually uncountable),Der,Gemüt,gemüt,0
Regret,Das Bedauern,(usually uncountable),Das,Bedauern,bedauern,2
Mill,Die Mühle,Die Mühlen,Die,Mühle,mühle,1
Romance,Die Romanze,Die Romanzen,Die,Romanze,romanze,1
Topic,Das Thema,Die Themen,Das,Thema,thema,2
Patio,Die Terrasse,Die Terrassen,Die,Terrasse,terrasse,1
Shovel,Die Schaufel,Die Schaufeln,Die,Schaufel,schaufel,1
Pajamas,Der Schlafanzug,Die Schlafanzüge,Der,Schlafanzug,schlafanzug,0
EMail,Die E-Mail,Die E-Mails,Die,E-Mail,e-mail,1
Pigeon,Die Taube,Die Tauben,Die,Taube,taube,1
Dinosaur,Der Dinosaurier,Die Dinosaurier,Der,Dinosaurier,dinosaurier,0
Industry,Die Industrie,Die Industrien,Die,Industrie,industrie,1
Operator,Der Operator,Die Operatoren,Der,Operator,operator,0
Counselor,Der Berater,Die Berater,Der,Berater,berater,0
Principle,Das Prinzip,Die Prinzipien,Das,Prinzip,prinzip,2
Drama,Das Drama,Die Dramen,Das,Drama,drama,2
Chick,Das Küken,Die Küken,Das,Küken,küken,2
Chart,Das Diagramm,Die Diagramme,Das,Diagramm,diagramm,2
Campaign,Die Kampagne,Die Kampagnen,Die,Kampagne,kampagne,1
Laurel,Der Lorbeer,Die Lorbeeren,Der,Lorbeer,lorbeer,0
Steak,Das Steak,Die Steaks,Das,Steak,steak,2
Criminal,Der Verbrecher,Die Verbrecher,Der,Verbrecher,verbrecher,0
Globe,Der Globus,Die Globen,Der,Globus,globus,0
Bruise,Der Bluterguss,Die Blutergüsse,Der,Bluterguss,bluterguss,0
Sweetheart,Die Liebste,Die Liebsten,Die,Liebste,liebste,1
Opera,Die Oper,Die Opern,Die,Oper,oper,1
Frost,Der Frost,(no plural form),Der,Frost,frost,0
Nipple,Die Brustwarze,Die Brustwarzen,Die,Brustwarze,brustwarze,1
Reverend,Der Pfarrer,Die Pfarrer,Der,Pfarrer,pfarrer,0
Haze,Der Dunst,(usually uncountable),Der,Dunst,dunst,0
Flood,Die Überschwemmung,Die Überschwemmungen,Die,Überschwemmung,überschwemmung,1
Weakness,Die Schwäche,Die Schwächen,Die,Schwäche,schwäche,1
Cooking,Das Kochen,(usually uncountable),Das,Kochen,kochen,2
Butcher,Der Metzger,Die Metzger,Der,Metzger,metzger,0
Cube,Der Würfel,Die Würfel,Der,Würfel,würfel,0
Hollow,Die Hohlheit,Die Hohlheiten,Die,Hohlheit,hohlheit,1
Bump,Der Stoß,Die Stöße,Der,Stoß,stoß,0
Hay,Das Heu,(usually uncountable),Das,Heu,heu,2
Bark,Die Rinde,Die Rinden,Die,Rinde,rinde,1
Survival,Das Überleben,(usually uncountable),Das,Überleben,überleben,2
Bunk,Die Koje,Die Kojen,Die,Koje,koje,1
Approval,Die Zustimmung,Die Zustimmungen,Die,Zustimmung,zustimmung,1
Division,Die Division,Die Divisionen,Die,Division,division,1
Cocktail,Der Cocktail,Die Cocktails,Der,Cocktail,cocktail,0
Contest,Der Wettkampf,Die Wettkämpfe,Der,Wettkampf,wettkampf,0
Paradise,Das Paradies,Die Paradiese,Das,Paradies,paradies,2
Razor,Der Rasierer,Die Rasierer,Der,Rasierer,rasierer,0
Catch,Der Fang,Die Fänge,Der,Fang,fang,0
Blossom,Die Blüte,Die Blüten,Die,Blüte,blüte,1
Puddle,Die Pfütze,Die Pfützen,Die,Pfütze,pfütze,1
Onion,Die Zwiebel,Die Zwiebeln,Die,Zwiebel,zwiebel,1
Laser,Der Laser,Die Laser,Der,Laser,laser,0
Influence,Der Einfluss,Die Einflüsse,Der,Einfluss,einfluss,0
Jump,Der Sprung,Die Sprünge,Der,Sprung,sprung,0
Cement,Der Zement,(usually uncountable),Der,Zement,zement,0
Amber,Das Bernstein,(usually uncountable),Das,Bernstein,bernstein,2
Goddess,Die Göttin,Die Göttinnen,Die,Göttin,göttin,1
Drift,Der Treibende,Die Treibenden,Der,Treibende,treibende,0
Braid,Der Zopf,Die Zöpfe,Der,Zopf,zopf,0
Dignity,Die Würde,(usually uncountable),Die,Würde,würde,1
Lemon,Die Zitrone,Die Zitronen,Die,Zitrone,zitrone,1
Clown,Der Clown,Die Clowns,Der,Clown,clown,0
Goggle,Die Brille,Die Brillen,Die,Brille,brille,1
Destruction,Die Zerstörung,Die Zerstörungen,Die,Zerstörung,zerstörung,1
Exception,Die Ausnahme,Die Ausnahmen,Die,Ausnahme,ausnahme,1
Peach,Der Pfirsich,Die Pfirsiche,Der,Pfirsich,pfirsich,0
Release,Die Freilassung,Die Freilassungen,Die,Freilassung,freilassung,1
Spy,Der Spion,Die Spione,Der,Spion,spion,0
Bra,Der BH,Die BHs,Der,BH,bh,0
Logic,Die Logik,(usually uncountable),Die,Logik,logik,1
Pitcher,Der Krug,Die Krüge,Der,Krug,krug,0
Perspective,Die Perspektive,Die Perspektiven,Die,Perspektive,perspektive,1
Crop,Die Ernte,Die Ernten,Die,Ernte,ernte,1
Graduate,Der Absolvent,Die Absolventen,Der,Absolvent,absolvent,0
Chorus,Der Chor,Die Chöre,Der,Chor,chor,0
Survivor,Der Überlebende,Die Überlebenden,Der,Überlebende,überlebende,0
Payment,Die Zahlung,Die Zahlungen,Die,Zahlung,zahlung,1
Bet,Die Wette,Die Wetten,Die,Wette,wette,1
Revenge,Die Rache,(usually uncountable),Die,Rache,rache,1
Plaza,Der Platz,Die Plätze,Der,Platz,platz,0
Elder,Der Ältere,Die Älteren,Der,Ältere,ältere,0
Ginger,Der Ingwer,(usually uncountable),Der,Ingwer,ingwer,0
Surgeon,Der Chirurg,Die Chirurgen,Der,Chirurg,chirurg,0
Dash,Der Strich,Die Striche,Der,Strich,strich,0
Sandal,Die Sandale,Die Sandalen,Die,Sandale,sandale,1
Hatred,Der Hass,(usually uncountable),Der,Hass,hass,0
Departure,Die Abfahrt,Die Abfahrten,Die,Abfahrt,abfahrt,1
Outline,Die Kontur,Die Konturen,Die,Kontur,kontur,1
Raven,Der Rabe,Die Raben,Der,Rabe,rabe,0
Runner,Der Läufer,Die Läufer,Der,Läufer,läufer,0
Anticipation,Die Vorfreude,(usually uncountable),Die,Vorfreude,vorfreude,1
Translation,Die Übersetzung,Die Übersetzungen,Die,Übersetzung,übersetzung,1
Headquarters,Das Hauptquartier,Die Hauptquartiere,Das,Hauptquartier,hauptquartier,2
Celebration,Die Feier,Die Feiern,Die,Feier,feier,1
Agony,Die Qual,(usually uncountable),Die,Qual,qual,1
Terminal,Das Terminal,Die Terminals,Das,Terminal,terminal,2
Expectation,Die Erwartung,Die Erwartungen,Die,Erwartung,erwartung,1
Pasture,Die Weide,Die Weiden,Die,Weide,weide,1
Console,Die Konsole,Die Konsolen,Die,Konsole,konsole,1
Strike,Der Streik,Die Streiks,Der,Streik,streik,0
Rescue,Die Rettung,Die Rettungen,Die,Rettung,rettung,1
Badge,Das Abzeichen,Die Abzeichen,Das,Abzeichen,abzeichen,2
Fund,Das Fundament,Die Fundamente,Das,Fundament,fundament,2
Foyer,Das Foyer,Die Foyers,Das,Foyer,foyer,2
Pastor,Der Pastor,Die Pastoren,Der,Pastor,pastor,0
Puzzle,Das Rätsel,Die Rätsel,Das,Rätsel,rätsel,2
Charity,Die Wohltätigkeit,(usually uncountable),Die,Wohltätigkeit,wohltätigkeit,1
Principal,Der Direktor,Die Direktoren,Der,Direktor,direktor,0
Applause,Der Applaus,(usually uncountable),Der,Applaus,applaus,0
Philosophy,Die Philosophie,Die Philosophien,Die,Philosophie,philosophie,1
Up,Die Aufwärtsbewegung,(usually uncountable),Die,Aufwärtsbewegung,aufwärtsbewegung,1
Nephew,Der Neffe,Die Neffen,Der,Neffe,neffe,0
Essay,Der Aufsatz,Die Aufsätze,Der,Aufsatz,aufsatz,0
Repair,Die Reparatur,Die Reparaturen,Die,Reparatur,reparatur,1
Mix,Die Mischung,Die Mischungen,Die,Mischung,mischung,1
Barrier,Die Barriere,Die Barrieren,Die,Barriere,barriere,1
Goodness,Die Güte,(usually uncountable),Die,Güte,güte,1
Scout,Der Pfadfinder,Die Pfadfinder,Der,Pfadfinder,pfadfinder,0
Microphone,Das Mikrofon,Die Mikrofone,Das,Mikrofon,mikrofon,2
Label,Das Etikett,Die Etiketten,Das,Etikett,etikett,2
Pepper,Der Pfeffer,(usually uncountable),Der,Pfeffer,pfeffer,0
Coyote,Der Kojote,Die Kojoten,Der,Kojote,kojote,0
Teaching,Der Unterricht,(usually uncountable),Der,Unterricht,unterricht,0
Burn,Die Verbrennung,Die Verbrennungen,Die,Verbrennung,verbrennung,1
Vest,Die Weste,Die Westen,Die,Weste,weste,1
Pony,Das Pony,Die Ponys,Das,Pony,pony,2
Donkey,Der Esel,Die Esel,Der,Esel,esel,0
Cycle,Der Zyklus,Die Zyklen,Der,Zyklus,zyklus,0
Gasp,Das Keuchen,(usually uncountable),Das,Keuchen,keuchen,2
Irony,Die Ironie,(usually uncountable),Die,Ironie,ironie,1
Award,Die Auszeichnung,Die Auszeichnungen,Die,Auszeichnung,auszeichnung,1
Grape,Die Traube,Die Trauben,Die,Traube,traube,1
Hesitation,Das Zögern,(usually uncountable),Das,Zögern,zögern,2
Tavern,Die Taverne,Die Tavernen,Die,Taverne,taverne,1
Sail,Das Segel,Die Segel,Das,Segel,segel,2
Silhouette,Die Silhouette,Die Silhouetten,Die,Silhouette,silhouette,1
Institute,Das Institut,Die Institute,Das,Institut,institut,2
Liar,Der Lügner,Die Lügner,Der,Lügner,lügner,0
Technique,Die Technik,Die Techniken,Die,Technik,technik,1
Index,Der Index,Die Indizes,Der,Index,index,0
Plank,Die Planke,Die Planken,Die,Planke,planke,1
Jerk,Der Ruck,Die Rucke,Der,Ruck,ruck,0
Growth,Das Wachstum,(usually uncountable),Das,Wachstum,wachstum,2
Stocking,Der Strumpf,Die Strümpfe,Der,Strumpf,strumpf,0
Blackness,Die Schwärze,(usually uncountable),Die,Schwärze,schwärze,1
Teen,Der Jugendliche,Die Jugendlichen,Der,Jugendliche,jugendliche,0
Bracelet,Das Armband,Die Armbänder,Das,Armband,armband,2
Jelly,Die Marmelade,Die Marmeladen,Die,Marmelade,marmelade,1
Diet,Die Diät,Die Diäten,Die,Diät,diät,1
Beef,Das Rindfleisch,(usually uncountable),Das,Rindfleisch,rindfleisch,2
Concrete,Der Beton,(usually uncountable),Der,Beton,beton,0
Contrast,Der Kontrast,Die Kontraste,Der,Kontrast,kontrast,0
Banner,Das Banner,Die Banner,Das,Banner,banner,2
Resistance,Der Widerstand,Die Widerstände,Der,Widerstand,widerstand,0
Stay,Der Aufenthalt,Die Aufenthalte,Der,Aufenthalt,aufenthalt,0
Posture,Die Haltung,Die Haltungen,Die,Haltung,haltung,1
Vodka,Der Wodka,(usually uncountable),Der,Wodka,wodka,0
Album,Das Album,Die Alben,Das,Album,album,2
Era,Die Ära,Die Ären,Die,Ära,ära,1
Acquaintance,Die Bekanntschaft,Die Bekanntschaften,Die,Bekanntschaft,bekanntschaft,1
Revolution,Die Revolution,Die Revolutionen,Die,Revolution,revolution,1
Nap,Der Mittagsschlaf,Die Mittagsschläfe,Der,Mittagsschlaf,mittagsschlaf,0
Veil,Der Schleier,Die Schleier,Der,Schleier,schleier,0
Spectacle,Das Spektakel,Die Spektakel,Das,Spektakel,spektakel,2
Competition,Der Wettbewerb,Die Wettbewerbe,Der,Wettbewerb,wettbewerb,0
Scalp,Die Kopfhaut,Die Kopfhäute,Die,Kopfhaut,kopfhaut,1
Holly,Die Stechpalme,Die Stechpalmen,Die,Stechpalme,stechpalme,1
Winner,Der Gewinner,Die Gewinner,Der,Gewinner,gewinner,0
Appetite,Der Appetit,(usually uncountable),Der,Appetit,appetit,0
Ivy,Der Efeu,(usually uncountable),Der,Efeu,efeu,0
Cue,Die Cue,Die Cues,Die,Cue,cue,1
Niece,Die Nichte,Die Nichten,Die,Nichte,nichte,1
Galaxy,Die Galaxie,Die Galaxien,Die,Galaxie,galaxie,1
Madness,Der Wahnsinn,(usually uncountable),Der,Wahnsinn,wahnsinn,0
Baker,Der Bäcker,Die Bäcker,Der,Bäcker,bäcker,0
Virus,Das Virus,Die Viren,Das,Virus,virus,2
Suffering,Das Leiden,(usually uncountable),Das,Leiden,leiden,2
Slot,Der Schlitz,Die Schlitz,Der,Schlitz,schlitz,0
Folder,Der Ordner,Die Ordner,Der,Ordner,ordner,0
Confession,Das Geständnis,Die Geständnisse,Das,Geständnis,geständnis,2
Porter,Der Türsteher,Die Türsteher,Der,Türsteher,türsteher,0
Dessert,Das Dessert,Die Desserts,Das,Dessert,dessert,2
Dump,Die Mülldeponie,Die Mülldeponien,Die,Mülldeponie,mülldeponie,1
Profit,Der Gewinn,Die Gewinne,Der,Gewinn,gewinn,0
Grandchild,Das Enkelkind,Die Enkelkinder,Das,Enkelkind,enkelkind,2
Gossip,Das Tratschen,(usually uncountable),Das,Tratschen,tratschen,2
Mare,Die Stute,Die Stuten,Die,Stute,stute,1
Dna,Die DNA,(usually unCountable),Die,DNA,dna,1
Torso,Der Oberkörper,Die Oberkörper,Der,Oberkörper,oberkörper,0
Broom,Der Besen,Die Besen,Der,Besen,besen,0
Hoof,Der Huf,Die Hufe,Der,Huf,huf,0
Sensor,Der Sensor,Die Sensoren,Der,Sensor,sensor,0
Scholar,Der Gelehrte,Die Gelehrten,Der,Gelehrte,gelehrte,0
Therapy,Die Therapie,Die Therapien,Die,Therapie,therapie,1
Peanut,Die Erdnuss,Die Erdnüsse,Die,Erdnuss,erdnuss,1
Headline,Die Schlagzeile,Die Schlagzeilen,Die,Schlagzeile,schlagzeile,1
Bacon,Der Speck,(usually uncountable),Der,Speck,speck,0
Violin,Die Violine,Die Violinen,Die,Violine,violine,1
Plague,Die Plage,Die Plagen,Die,Plage,plage,1
Blur,Das Verschwimmen,(usually uncountable),Das,Verschwimmen,verschwimmen,2
Meantime,Die Zwischenzeit,Die Zwischenzeiten,Die,Zwischenzeit,zwischenzeit,1
Deacon,Der Diakon,Die Diakone,Der,Diakon,diakon,0
Lance,Die Lanze,Die Lanzen,Die,Lanze,lanze,1
Arrest,Die Verhaftung,Die Verhaftungen,Die,Verhaftung,verhaftung,1
Banana,Die Banane,Die Bananen,Die,Banane,banane,1
Gin,Der Gin,(usually uncountable),Der,Gin,gin,0
Shark,Der Hai,Die Haie,Der,Hai,hai,0
Preparation,Die Vorbereitung,Die Vorbereitungen,Die,Vorbereitung,vorbereitung,1
Scratch,Der Kratzer,Die Kratzer,Der,Kratzer,kratzer,0
Dressing,Das Ankleiden,(usually uncountable),Das,Ankleiden,ankleiden,2
Signature,Die Unterschrift,Die Unterschriften,Die,Unterschrift,unterschrift,1
Admiral,Der Admiral,Die Admirale,Der,Admiral,admiral,0
Analysis,Die Analyse,Die Analysen,Die,Analyse,analyse,1
Rainbow,Der Regenbogen,Die Regenbogen,Der,Regenbogen,regenbogen,0
Lizard,Der Eidechse,Die Eidechsen,Der,Eidechse,eidechse,0
Dwarf,Der Zwerg,Die Zwerge,Der,Zwerg,zwerg,0
Stress,Der Stress,(usually uncountable),Der,Stress,stress,0
Homework,Die Hausaufgabe,Die Hausaufgaben,Die,Hausaufgabe,hausaufgabe,1
Conviction,Die Überzeugung,Die Überzeugungen,Die,Überzeugung,überzeugung,1
Rover,Der Rover,Die Rover,Der,Rover,rover,0
Wren,Der Zaunkönig,Die Zaunkönige,Der,Zaunkönig,zaunkönig,0
Expedition,Die Expedition,Die Expeditionen,Die,Expedition,expedition,1
Reward,Die Belohnung,Die Belohnungen,Die,Belohnung,belohnung,1
Brandy,Der Weinbrand,(usually uncountable),Der,Weinbrand,weinbrand,0
Residence,Der Wohnsitz,Die Wohnsitze,Der,Wohnsitz,wohnsitz,0
Baron,Der Baron,Die Barone,Der,Baron,baron,0
Complex,Das Gebäudekomplex,Die Gebäudekomplexe,Das,Gebäudekomplex,gebäudekomplex,2
Candidate,Der Kandidat,Die Kandidaten,Der,Kandidat,kandidat,0
Triumph,Der Triumph,Die Triumphe,Der,Triumph,triumph,0
Twist,Der Twist,Die Twists,Der,Twist,twist,0
Sketch,Die Skizze,Die Skizzen,Die,Skizze,skizze,1
Register,Das Register,Die Register,Das,Register,register,2
Heartbeat,Der Herzschlag,Die Herzschläge,Der,Herzschlag,herzschlag,0
Cafeteria,Die Cafeteria,Die Cafeterien,Die,Cafeteria,cafeteria,1
Maze,Das Labyrinth,Die Labyrinthe,Das,Labyrinth,labyrinth,2
Fisherman,Der Fischer,Die Fischer,Der,Fischer,fischer,0
Hum,Das Brummen,(usually uncountable),Das,Brummen,brummen,2
Kitten,Das Kätzchen,Die Kätzchen,Das,Kätzchen,kätzchen,2
Dread,Die Furcht,(usually uncountable),Die,Furcht,furcht,1
Substance,Die Substanz,Die Substanzen,Die,Substanz,substanz,1
Dagger,Der Dolch,Die Dolche,Der,Dolch,dolch,0
Con,Der Schwindel,Die Schwindel,Der,Schwindel,schwindel,0
Loneliness,Die Einsamkeit,(usually uncountable),Die,Einsamkeit,einsamkeit,1
Motorcycle,Das Motorrad,Die Motorräder,Das,Motorrad,motorrad,2
Amazement,Das Erstaunen,(usually uncountable),Das,Erstaunen,erstaunen,2
Peer,Der Gleichaltrige,Die Gleichaltrigen,Der,Gleichaltrige,gleichaltrige,0
Insult,Die Beleidigung,Die Beleidigungen,Die,Beleidigung,beleidigung,1
Capacity,Die Kapazität,Die Kapazitäten,Die,Kapazität,kapazität,1
Awe,Das Ehrfurcht,(usually uncountable),Das,Ehrfurcht,ehrfurcht,2
Chili,Das Chili,Die Chilis,Das,Chili,chili,2
Lodge,Die Lodge,Die Lodges,Die,Lodge,lodge,1
Clip,Der Clip,Die Clips,Der,Clip,clip,0
Limo,Die Limousine,Die Limousinen,Die,Limousine,limousine,1
Mosquito,Die Mücke,Die Mücken,Die,Mücke,mücke,1
Shake,Der Shake,Die Shakes,Der,Shake,shake,0
Feast,Das Festmahl,Die Festmahle,Das,Festmahl,festmahl,2
Casino,Das Kasino,Die Kasinos,Das,Kasino,kasino,2
Pea,Die Erbse,Die Erbsen,Die,Erbse,erbse,1
Murmur,Das Murmeln,(usually uncountable),Das,Murmeln,murmeln,2
Conflict,Der Konflikt,Die Konflikte,Der,Konflikt,konflikt,0
Stem,Der Stiel,Die Stiele,Der,Stiel,stiel,0
Flock,Die Herde,Die Herden,Die,Herde,herde,1
Sob,Das Schluchzen,(usually uncountable),Das,Schluchzen,schluchzen,2
Pregnancy,Die Schwangerschaft,Die Schwangerschaften,Die,Schwangerschaft,schwangerschaft,1
Suspect,Der Verdächtige,Die Verdächtigen,Der,Verdächtige,verdächtige,0
Coincidence,Der Zufall,Die Zufälle,Der,Zufall,zufall,0
Ranger,Der Ranger,Die Ranger,Der,Ranger,ranger,0
Cartoon,Der Cartoon,Die Cartoons,Der,Cartoon,cartoon,0
Roommate,Der Mitbewohner,Die Mitbewohner,Der,Mitbewohner,mitbewohner,0
Kindness,Die Freundlichkeit,Die Freundlichkeiten,Die,Freundlichkeit,freundlichkeit,1
Cruiser,Das Kreuzfahrtschiff,Die Kreuzfahrtschiffe,Das,Kreuzfahrtschiff,kreuzfahrtschiff,2
Slab,Die Platte,Die Platten,Die,Platte,platte,1
Conscience,Das Gewissen,Die Gewissen,Das,Gewissen,gewissen,2
Cheer,Der Jubel,Die Jubel,Der,Jubel,jubel,0
Cone,Der Kegel,Die Kegel,Der,Kegel,kegel,0
Circuit,Der Stromkreis,Die Stromkreise,Der,Stromkreis,stromkreis,0
Ivory,Das Elfenbein,(usually uncountable),Das,Elfenbein,elfenbein,2
Carpenter,Der Zimmermann,Die Zimmerleute,Der,Zimmermann,zimmermann,0
Realm,Das Reich,Die Reiche,Das,Reich,reich,2
Bum,Der Penner,Die Penner,Der,Penner,penner,0
Reservation,Die Reservierung,Die Reservierungen,Die,Reservierung,reservierung,1
Groan,Das Stöhnen,Die Stöhne,Das,Stöhnen,stöhnen,2
Academy,Die Akademie,Die Akademien,Die,Akademie,akademie,1
Longing,Die Sehnsucht,Die Sehnsüchte,Die,Sehnsucht,sehnsucht,1
Kip,Der Kip,Die Kips,Der,Kip,kip,0
Drill,Der Bohrer,Die Bohrer,Der,Bohrer,bohrer,0
Luggage,Das Gepäck,(usually uncountable),Das,Gepäck,gepäck,2
Canopy,Das Baldachin,Die Baldachine,Das,Baldachin,baldachin,2
Thrill,Der Nervenkitzel,Die Nervenkitzel,Der,Nervenkitzel,nervenkitzel,0
Virtue,Die Tugend,Die Tugenden,Die,Tugend,tugend,1
Chimney,Der Schornstein,Die Schornsteine,Der,Schornstein,schornstein,0
Anchor,Der Anker,Die Anker,Der,Anker,anker,0
Harmony,Die Harmonie,Die Harmonien,Die,Harmonie,harmonie,1
Maple,Der Ahorn,Die Ahorne,Der,Ahorn,ahorn,0
Bunny,Das Häschen,Die Häschen,Das,Häschen,häschen,2
Throne,Der Thron,Die Throne,Der,Thron,thron,0
Application,Die Anwendung,Die Anwendungen,Die,Anwendung,anwendung,1
Physics,Die Physik,(usually uncountable),Die,Physik,physik,1
Neon,Das Neon,(usually uncountable),Das,Neon,neon,2
Airlock,Die Luftschleuse,Die Luftschleusen,Die,Luftschleuse,luftschleuse,1
Fatigue,Die Ermüdung,(usually uncountable),Die,Ermüdung,ermüdung,1
Manuscript,Das Manuskript,Die Manuskripte,Das,Manuskript,manuskript,2
Memorial,Das Denkmal,Die Denkmäler,Das,Denkmal,denkmal,2
Japanese,Der Japaner,Die Japaner,Der,Japaner,japaner,0
Engineering,Das Ingenieurwesen,(usually uncountable),Das,Ingenieurwesen,ingenieurwesen,2
Left,Die Linke,(usually uncountable),Die,Linke,linke,1
Bronze,Die Bronze,(usually uncountable),Die,Bronze,bronze,1
Association,Die Vereinigung,Die Vereinigungen,Die,Vereinigung,vereinigung,1
Fleet,Die Flotte,Die Flotten,Die,Flotte,flotte,1
Marker,Der Marker,Die Marker,Der,Marker,marker,0
Prey,Die Beute,(usually uncountable),Die,Beute,beute,1
Episode,Die Episode,Die Episoden,Die,Episode,episode,1
Origin,Der Ursprung,Die Ursprünge,Der,Ursprung,ursprung,0
Vacuum,Das Vakuum,Die Vakua,Das,Vakuum,vakuum,2
Cathedral,Die Kathedrale,Die Kathedralen,Die,Kathedrale,kathedrale,1
Management,Das Management,(usually uncountable),Das,Management,management,2
Down,Die Daune,Die Daunen,Die,Daune,daune,1
Continent,Der Kontinent,Die Kontinente,Der,Kontinent,kontinent,0
Dickens,Der Dickens,(usually uncountable),Der,Dickens,dickens,0
Volunteer,Der Freiwillige,Die Freiwilligen,Der,Freiwillige,freiwillige,0
Hem,Der Saum,Die Säume,Der,Saum,saum,0
Mention,Die Erwähnung,Die Erwähnungen,Die,Erwähnung,erwähnung,1
Lust,Die Lust,(usually uncountable),Die,Lust,lust,1
Giggle,Das Kichern,(usually uncountable),Das,Kichern,kichern,2
Classmate,Der Klassenkamerad,Die Klassenkameraden,Der,Klassenkamerad,klassenkamerad,0
Cleaning,Das Reinigen,(usually uncountable),Das,Reinigen,reinigen,2
Receptionist,Der Empfangsmitarbeiter,Die Empfangsmitarbeiter,Der,Empfangsmitarbeiter,empfangsmitarbeiter,0
Pursuit,Die Verfolgung,Die Verfolgungen,Die,Verfolgung,verfolgung,1
Contempt,Die Verachtung,(usually uncountable),Die,Verachtung,verachtung,1
Grandparent,Der Großelternteil,Die Großelternteile,Der,Großelternteil,großelternteil,0
Threshold,Die Schwelle,Die Schwellen,Die,Schwelle,schwelle,1
Deed,Die Tat,Die Taten,Die,Tat,tat,1
Artifact,Das Artefakt,Die Artefakte,Das,Artefakt,artefakt,2
Magician,Der Magier,Die Magier,Der,Magier,magier,0
Italian,Der Italiener,Die Italiener,Der,Italiener,italiener,0
Eternity,Die Ewigkeit,(usually uncountable),Die,Ewigkeit,ewigkeit,1
Slate,Die Schiefertafel,Die Schiefertafeln,Die,Schiefertafel,schiefertafel,1
Announcement,Die Ankündigung,Die Ankündigungen,Die,Ankündigung,ankündigung,1
Motive,Das Motiv,Die Motive,Das,Motiv,motiv,2
Mechanic,Der Mechaniker,Die Mechaniker,Der,Mechaniker,mechaniker,0
Ally,Der Verbündete,Die Verbündeten,Der,Verbündete,verbündete,0
Vase,Die Vase,Die Vasen,Die,Vase,vase,1
Salesman,Der Verkäufer,Die Verkäufer,Der,Verkäufer,verkäufer,0
Therapist,Der Therapeut,Die Therapeuten,Der,Therapeut,therapeut,0
Maverick,Der Einzelgänger,Die Einzelgänger,Der,Einzelgänger,einzelgänger,0
Bandage,Der Verband,Die Verbände,Der,Verband,verband,0
Ham,Der Schinken,(usually uncountable),Der,Schinken,schinken,0
Carter,Der Carter,Die Carter,Der,Carter,carter,0
Investment,Die Investition,Die Investitionen,Die,Investition,investition,1
Appeal,Der Reiz,Die Reize,Der,Reiz,reiz,0
Innocence,Die Unschuld,(usually uncountable),Die,Unschuld,unschuld,1
Calendar,Der Kalender,Die Kalender,Der,Kalender,kalender,0
Revelation,Die Offenbarung,Die Offenbarungen,Die,Offenbarung,offenbarung,1
Pancake,Der Pfannkuchen,Die Pfannkuchen,Der,Pfannkuchen,pfannkuchen,0
Asteroid,Der Asteroid,Die Asteroiden,Der,Asteroid,asteroid,0
Postcard,Die Postkarte,Die Postkarten,Die,Postkarte,postkarte,1
Garment,Das Kleidungsstück,Die Kleidungsstücke,Das,Kleidungsstück,kleidungsstück,2
Determination,Die Bestimmung,Die Bestimmungen,Die,Bestimmung,bestimmung,1
Tractor,Der Traktor,Die Traktoren,Der,Traktor,traktor,0
Berry,Die Beere,Die Beeren,Die,Beere,beere,1
Surroundings,Die Umgebung,Die Umgebungen,Die,Umgebung,umgebung,1
Offense,Die Straftat,Die Straftaten,Die,Straftat,straftat,1
Introduction,Die Einführung,Die Einführungen,Die,Einführung,einführung,1
Butler,Der Butler,Die Diener,Der,Butler,butler,0
Cough,Der Husten,Die Husten,Der,Husten,husten,0
