english,singular,plural,article,noun,x,y,sing+plural,catalan
Boat,Das Boot,Die Boote,Das,Boot,boot,2,"Das Boot, Die Boote","El vaixell, els vaixells"
System,Das System,Die Systeme,Das,System,system,2,"Das System, Die Systeme","El sistema, els sistemes"
Care,Die Sorge,Die Sorgen,Die,Sorge,sorge,1,"Die Sorge, Die Sorgen","La preocupació, les preocupacions"
Bit,Das Bit,Die Bits,Das,Bit,bit,2,"Das Bit, Die Bits","El bit, els bits"
Movie,Der Film,Die Filme,Der,Film,film,0,"Der Film, Die Filme","La pel·lícula, les pel·lícules"
Bone,Der Knochen,Die Knochen,Der,Knochen,knochen,0,"Der Knochen, Die Knochen","L'os, els ossos"
Page,Die Seite,Die Seiten,Die,Seite,seite,1,"Die Seite, Die Seiten","La pàgina, les pàgines"
Captain,Der Kapitän,Die Kapitäne,Der,Kapitän,kapitän,0,"Der Kapitän, Die Kapitäne","El capità, els capitans"
Aunt,Die Tante,Die Tanten,Die,Tante,tante,1,"Die Tante, Die Tanten","La tia, les ties"
Darkness,Die Dunkelheit,-,Die,Dunkelheit,dunkelheit,1,"Die Dunkelheit, -","La foscor, -"
Control,Die Kontrolle,Die Kontrollen,Die,Kontrolle,kontrolle,1,"Die Kontrolle, Die Kontrollen","El control, els controls"
Drink,Das Getränk,Die Getränke,Das,Getränk,getränk,2,"Das Getränk, Die Getränke","La beguda, les begudes"
Hotel,Das Hotel,Die Hotels,Das,Hotel,hotel,2,"Das Hotel, Die Hotels","L'Hotel, Els Hotels"
Coat,Der Mantel,Die Mäntel,Der,Mantel,mantel,0,"Der Mantel, Die Mäntel","L'abric, els abrics"
Stair,Die Treppe,Die Treppen,Die,Treppe,treppe,1,"Die Treppe, Die Treppen","Les escales, les escales"
Order,Die Bestellung,Die Bestellungen,Die,Bestellung,bestellung,1,"Die Bestellung, Die Bestellungen","L'ordre, les ordres"
Rose,Die Rose,Die Rosen,Die,Rose,rose,1,"Die Rose, Die Rosen","La rosa, les roses"
Miss,Die Miss,-,Die,Miss,miss,1,"Die Miss, -","La senyoreta, -"
Hat,Der Hut,Die Hüte,Der,Hut,hut,0,"Der Hut, Die Hüte","El barret, els barrets"
Gold,Das Gold,-,Das,Gold,gold,2,"Das Gold, -","L'or, els ors"
Cigarette,Die Zigarette,Die Zigaretten,Die,Zigarette,zigarette,1,"Die Zigarette, Die Zigaretten","la cigarreta, les cigarretes"
Cloud,Die Wolke,Die Wolken,Die,Wolke,wolke,1,"Die Wolke, Die Wolken","El núvol, els núvols"
View,Die Aussicht,Die Aussichten,Die,Aussicht,aussicht,1,"Die Aussicht, Die Aussichten","La vista, les vistes"
Driver,Der Fahrer,Die Fahrer,Der,Fahrer,fahrer,0,"Der Fahrer, Die Fahrer","El conductor, els conductors"
Cup,Die Tasse,Die Tassen,Die,Tasse,tasse,1,"Die Tasse, Die Tassen","La copa, les tasses"
Figure,Die Figur,Die Figuren,Die,Figur,figur,1,"Die Figur, Die Figuren","La figura, les xifres"
Expression,Der Ausdruck,Die Ausdrücke,Der,Ausdruck,ausdruck,0,"Der Ausdruck, Die Ausdrücke","L'expressió, les expressions"
Path,Der Weg,Die Wege,Der,Weg,weg,0,"Der Weg, Die Wege","El camí, els camins"
Key,Der Schlüssel,Die Schlüssel,Der,Schlüssel,schlüssel,0,"Der Schlüssel, Die Schlüssel","La clau, les claus"
Computer,Der Computer,Die Computer,Der,Computer,computer,0,"Der Computer, Die Computer","L'ordinador, els ordinadors"
Flower,Die Blume,Die Blumen,Die,Blume,blume,1,"Die Blume, Die Blumen","La flor, les flors"
Ring,Der Ring,Die Ringe,Der,Ring,ring,0,"Der Ring, Die Ringe","L'anell, els anells"
Bathroom,Das Badezimmer,Die Badezimmer,Das,Badezimmer,badezimmer,2,"Das Badezimmer, Die Badezimmer","El bany, els banys"
Metal,Das Metall,Die Metalle,Das,Metall,metall,2,"Das Metall, Die Metalle","El metall, els metalls"
Moon,Der Mond,Die Monde,Der,Mond,mond,0,"Der Mond, Die Monde","La Lluna, Les Llunes"
Song,Das Lied,Die Lieder,Das,Lied,lied,2,"Das Lied, Die Lieder","La cançó, les cançons"
Soldier,Der Soldat,Die Soldaten,Der,Soldat,soldat,0,"Der Soldat, Die Soldaten","El soldat, els soldats"
Radio,Das Radio,Die Radios,Das,Radio,radio,2,"Das Radio, Die Radios","La ràdio, les ràdios"
History,Die Geschichte,Die Geschichten,Die,Geschichte,geschichte,1,"Die Geschichte, Die Geschichten","La història, les històries"
Wave,Die Welle,Die Wellen,Die,Welle,welle,1,"Die Welle, Die Wellen","L'onada, les onades"
Plan,Der Plan,Die Pläne,Der,Plan,plan,0,"Der Plan, Die Pläne","El pla, els plans"
College,Das College,Die Colleges,Das,College,college,2,"Das College, Die Colleges","El Col·legi, Els Col·legis"
Fish,Der Fisch,Die Fische,Der,Fisch,fisch,0,"Der Fisch, Die Fische","El peix, el peix"
Garden,Der Garten,Die Gärten,Der,Garten,garten,0,"Der Garten, Die Gärten","El jardí, els jardins"
Train,Der Zug,Die Züge,Der,Zug,zug,0,"Der Zug, Die Züge","El tren, els trens"
Shop,Das Geschäft,Die Geschäfte,Das,Geschäft,geschäft,2,"Das Geschäft, Die Geschäfte","El negoci, les botigues"
Cop,Der Polizist,Die Polizisten,Der,Polizist,polizist,0,"Der Polizist, Die Polizisten","El policia, els policies"
Art,Die Kunst,-,Die,Kunst,kunst,1,"Die Kunst, -","l'art, els arts"
Beer,Das Bier,Die Biere,Das,Bier,bier,2,"Das Bier, Die Biere","La cervesa, les cerveses"
North,Der Norden,-,Der,Norden,norden,0,"Der Norden, -","El Nord, -"
Island,Die Insel,Die Inseln,Die,Insel,insel,1,"Die Insel, Die Inseln","L'illa, les illes"
Bus,Der Bus,Die Busse,Der,Bus,bus,0,"Der Bus, Die Busse","L'autobús, els autobusos"
Smell,Der Geruch,Die Gerüche,Der,Geruch,geruch,0,"Der Geruch, Die Gerüche","L'olor, les olors"
Noise,Das Geräusch,Die Geräusche,Das,Geräusch,geräusch,2,"Das Geräusch, Die Geräusche","El soroll, els sorolls"
Park,Der Park,Die Parks,Der,Park,park,0,"Der Park, Die Parks","El parc, els parcs"
South,Der Süden,-,Der,Süden,süden,0,"Der Süden, -","El Sud, -"
Pair,Das Paar,Die Paare,Das,Paar,paar,2,"Das Paar, Die Paare","La parella, les parelles"
Lord,Der Herr,Die Herren,Der,Herr,herr,0,"Der Herr, Die Herren","El Senyor, els senyors"
Plate,Der Teller,Die Teller,Der,Teller,teller,0,"Der Teller, Die Teller","El plat, els plats"
Jacket,Die Jacke,Die Jacken,Die,Jacke,jacke,1,"Die Jacke, Die Jacken","La jaqueta, les jaquetes"
Help,Die Hilfe,Die Hilfen,Die,Hilfe,hilfe,1,"Die Hilfe, Die Hilfen","L'ajuda, les ajudes"
Daddy,Der Papa,Die Papas,Der,Papa,papa,0,"Der Papa, Die Papas","El pare, els pares"
Grass,Das Gras,Die Gräser,Das,Gras,gras,2,"Das Gras, Die Gräser","L'herba, les herbes"
Thanks,Der Dank,Die Danksagungen,Der,Dank,dank,0,"Der Dank, Die Danksagungen","la gràcia, les gràcies"
Heat,Die Hitze,-,Die,Hitze,hitze,1,"Die Hitze, -","La calor, -"
Sleep,Der Schlaf,-,Der,Schlaf,schlaf,0,"Der Schlaf, -","el son, "
Brain,Das Gehirn,Die Gehirne,Das,Gehirn,gehirn,2,"Das Gehirn, Die Gehirne","El cervell, els cervells"
Service,Der Service,Die Services,Der,Service,service,0,"Der Service, Die Services","El servei, els serveis"
Trip,Die Reise,Die Reisen,Die,Reise,reise,1,"Die Reise, Die Reisen","El viatge, els viatges"
Beat,Der Schlag,Die Schläge,Der,Schlag,schlag,0,"Der Schlag, Die Schläge","El cop, els cops"
Knife,Das Messer,Die Messer,Das,Messer,messer,2,"Das Messer, Die Messer","El ganivet, els ganivets"
Spot,Der Fleck,Die Flecken,Der,Fleck,fleck,0,"Der Fleck, Die Flecken","La taca, les taques"
Message,Die Nachricht,Die Nachrichten,Die,Nachricht,nachricht,1,"Die Nachricht, Die Nachrichten","El missatge, les notícies"
Mark,Das Zeichen,Die Zeichen,Das,Zeichen,zeichen,2,"Das Zeichen, Die Zeichen","El signe, els signes"
Teacher,Der Lehrer,Die Lehrer,Der,Lehrer,lehrer,0,"Der Lehrer, Die Lehrer","El professor, els professors"
Gaze,Der Blick,Die Blicke,Der,Blick,blick,0,"Der Blick, Die Blicke","La mirada, la mirada"
Village,Das Dorf,Die Dörfer,Das,Dorf,dorf,2,"Das Dorf, Die Dörfer","El poble, els pobles"
Winter,Der Winter,Die Winter,Der,Winter,winter,0,"Der Winter, Die Winter","l'Hivern, els hiverns"
Front,Die Front,Die Fronten,Die,Front,front,1,"Die Front, Die Fronten","La part davantera, la part frontal"
Law,Das Gesetz,Die Gesetze,Das,Gesetz,gesetz,2,"Das Gesetz, Die Gesetze","La llei, les lleis"
Surface,Die Oberfläche,Die Oberflächen,Die,Oberfläche,oberfläche,1,"Die Oberfläche, Die Oberflächen","La superfície, les superfícies"
Bank,Die Bank,Die Banken,Die,Bank,bank,1,"Die Bank, Die Banken","El banc, els bancs"
Team,Das Team,Die Teams,Das,Team,team,2,"Das Team, Die Teams","L'equip, els equips"
Maximum,Das Maximum,Die Maxima,Das,Maximum,maximum,2,"Das Maximum, Die Maxima","El màxim, el màxim"
Position,Die Position,Die Positionen,Die,Position,position,1,"Die Position, Die Positionen","La posició, les posicions"
Stomach,Der Magen,Die Mägen,Der,Magen,magen,0,"Der Magen, Die Mägen","L'estómac, els estómacs"
Turn,Die Wende,-,Die,Wende,wende,1,"Die Wende, -","El canvi, -"
West,Der Westen,-,Der,Westen,westen,0,"Der Westen, -","L'Oest, els oests"
Lunch,Das Mittagessen,Die Mittagessen,Das,Mittagessen,mittagessen,2,"Das Mittagessen, Die Mittagessen","El dinar, els dinars"
Change,Die Veränderung,Die Veränderungen,Die,Veränderung,veränderung,1,"Die Veränderung, Die Veränderungen","El canvi, els canvis"
Creature,Das Lebewesen,Die Lebewesen,Das,Lebewesen,lebewesen,2,"Das Lebewesen, Die Lebewesen","L'ésser viu, els éssers vius"
Soul,Die Seele,Die Seelen,Die,Seele,seele,1,"Die Seele, Die Seelen","L'ànima, les ànimes"
Leaf,Das Blatt,Die Blätter,Das,Blatt,blatt,2,"Das Blatt, Die Blätter","La fulla, les fulles"
Show,Die Show,Die Shows,Die,Show,show,1,"Die Show, Die Shows","L'espectacle, els espectacles"
Gate,Das Tor,Die Tore,Das,Tor,tor,2,"Das Tor, Die Tore","La porta, les portes"
Palm,Die Palme,Die Palmen,Die,Palme,palme,1,"Die Palme, Die Palmen","La palmera, les palmeres"
Plastic,Das Plastik,-,Das,Plastik,plastik,2,"Das Plastik, -","El plàstic, -"
Force,Die Kraft,Die Kräfte,Die,Kraft,kraft,1,"Die Kraft, Die Kräfte","El poder, els poders"
Beach,Der Strand,Die Strände,Der,Strand,strand,0,"Der Strand, Die Strände","La platja, les platges"
President,Der Präsident,Die Präsidenten,Der,Präsident,präsident,0,"Der Präsident, Die Präsidenten","el President, els Presidents"
Shape,Die Form,Die Formen,Die,Form,form,1,"Die Form, Die Formen","La forma, les formes"
Smoke,Der Rauch,Die Rauch,Der,Rauch,rauch,0,"Der Rauch, Die Rauch","El fum, el fum"
Wheel,Das Rad,Die Räder,Das,Rad,rad,2,"Das Rad, Die Räder","La roda, les rodes"
Silver,Das Silber,-,Das,Silber,silber,2,"Das Silber, -","La plata, -"
Roof,Das Dach,Die Dächer,Das,Dach,dach,2,"Das Dach, Die Dächer","El sostre, els sostres"
Weight,Das Gewicht,Die Gewichte,Das,Gewicht,gewicht,2,"Das Gewicht, Die Gewichte","El pes, els pesos"
Tongue,Die Zunge,Die Zungen,Die,Zunge,zunge,1,"Die Zunge, Die Zungen","La llengua, les llengües"
Tea,Der Tee,Die Tees,Der,Tee,tee,0,"Der Tee, Die Tees","El te, els tes"
Track,Die Strecke,Die Strecken,Die,Strecke,strecke,1,"Die Strecke, Die Strecken","La ruta, les rutes"
Angle,Der Winkel,Die Winkel,Der,Winkel,winkel,0,"Der Winkel, Die Winkel","L'angle, els angles"
Form,Die Form,Die Formen,Die,Form,form,1,"Die Form, Die Formen","La forma, les formes"
Tone,Der Ton,Die Töne,Der,Ton,ton,0,"Der Ton, Die Töne","El to, els tons"
Circle,Der Kreis,Die Kreise,Der,Kreis,kreis,0,"Der Kreis, Die Kreise","El cercle, els cercles"
Spring,Der Frühling,Die Frühlinge,Der,Frühling,frühling,0,"Der Frühling, Die Frühlinge","la Primavera, les primaveres"
Porch,Die Veranda,Die Veranden,Die,Veranda,veranda,1,"Die Veranda, Die Veranden","El porxo, els porxos"
Sheet,Das Blatt,Die Blätter,Das,Blatt,blatt,2,"Das Blatt, Die Blätter","La fulla, les fulles"
Member,Das Mitglied,Die Mitglieder,Das,Mitglied,mitglied,2,"Das Mitglied, Die Mitglieder","El membre, els membres"
Pool,Der Pool,Die Pools,Der,Pool,pool,0,"Der Pool, Die Pools","La piscina, les piscines"
Need,Das Bedürfnis,Die Bedürfnisse,Das,Bedürfnis,bedürfnis,2,"Das Bedürfnis, Die Bedürfnisse","La necessitat, les necessitats"
Hope,Die Hoffnung,Die Hoffnungen,Die,Hoffnung,hoffnung,1,"Die Hoffnung, Die Hoffnungen","L'esperança, les esperances"
Lake,Der See,Die Seen,Der,See,see,0,"Der See, Die Seen","El llac, els llacs"
Breast,Die Brust,Die Brüste,Die,Brust,brust,1,"Die Brust, Die Brüste","El pit, els pits"
Surprise,Die Überraschung,Die Überraschungen,Die,Überraschung,überraschung,1,"Die Überraschung, Die Überraschungen","La sorpresa, les sorpreses"
Interest,Das Interesse,-,Das,Interesse,interesse,2,"Das Interesse, -","L'interfície, les interficies"
Bottom,Der Boden,Die Böden,Der,Boden,boden,0,"Der Boden, Die Böden","El sòl, els sòls"
Spirit,Der Geist,Die Geister,Der,Geist,geist,0,"Der Geist, Die Geister","L'esperit, els esperits"
Block,Der Block,Die Blöcke,Der,Block,block,0,"Der Block, Die Blöcke","El bloc, els blocs"
Language,Die Sprache,Die Sprachen,Die,Sprache,sprache,1,"Die Sprache, Die Sprachen","La llengua, les llengües"
Bridge,Die Brücke,Die Brücken,Die,Brücke,brücke,1,"Die Brücke, Die Brücken","El pont, els ponts"
Dust,Der Staub,-,Der,Staub,staub,0,"Der Staub, -","La pols, -"
Cell,Die Zelle,Die Zellen,Die,Zelle,zelle,1,"Die Zelle, Die Zellen","La cèl·lula, les cèl·lules"
Wine,Der Wein,Die Weine,Der,Wein,wein,0,"Der Wein, Die Weine","El vi, els vins"
Boot,Der Stiefel,Die Stiefel,Der,Stiefel,stiefel,0,"Der Stiefel, Die Stiefel","La bota, les botes"
Choice,Die Wahl,Die Wahlen,Die,Wahl,wahl,1,"Die Wahl, Die Wahlen","Les eleccions, les eleccions"
Row,Die Reihe,Die Reihen,Die,Reihe,reihe,1,"Die Reihe, Die Reihen","La sèrie, les files"
Talk,Das Gespräch,Die Gespräche,Das,Gespräch,gespräch,2,"Das Gespräch, Die Gespräche","La conversa, les converses"
Plane,Das Flugzeug,Die Flugzeuge,Das,Flugzeug,flugzeug,2,"Das Flugzeug, Die Flugzeuge","L'avió, els avions"
Watch,Die Uhr,Die Uhren,Die,Uhr,uhr,1,"Die Uhr, Die Uhren","El rellotge, els rellotges"
Information,Die Information,Die Informationen,Die,Information,information,1,"Die Information, Die Informationen","La informació, la informació"
Grandmother,Die Großmutter,-,Die,Großmutter,großmutter,1,"Die Großmutter, -","L'àvia, les àvies"
Wing,Der Flügel,Die Flügel,Der,Flügel,flügel,0,"Der Flügel, Die Flügel","L'ala, les ales"
Bob,Der Bob,Die Bobs,Der,Bob,bob,0,"Der Bob, Die Bobs","El Bob, els Bobs"
Club,Der Club,Die Clubs,Der,Club,club,0,"Der Club, Die Clubs","El Club, Els Clubs"
Master,Der Meister,Die Meister,Der,Meister,meister,0,"Der Meister, Die Meister","El Mestre, Els Mestres"
Grace,Die Gnade,Die Gnaden,Die,Gnade,gnade,1,"Die Gnade, Die Gnaden","La gràcia, les gràcies"
Forest,Der Wald,Die Wälder,Der,Wald,wald,0,"Der Wald, Die Wälder","El bosc, el bosc"
Size,Die Größe,Die Größen,Die,Größe,größe,1,"Die Größe, Die Größen","La mida, les mides"
Set,Der Satz,Die Sätze,Der,Satz,satz,0,"Der Satz, Die Sätze","La frase, les frases"
Marriage,Die Ehe,Die Ehen,Die,Ehe,ehe,1,"Die Ehe, Die Ehen","el Matrimoni, els matrimonis"
Forehead,Die Stirn,Die Stirnen,Die,Stirn,stirn,1,"Die Stirn, Die Stirnen","El front, el front"
Storm,Der Sturm,Die Stürme,Der,Sturm,sturm,0,"Der Sturm, Die Stürme","La tempesta, les tempestes"
Doorway,Der Durchgang,Die Durchgänge,Der,Durchgang,durchgang,0,"Der Durchgang, Die Durchgänge","El passatge, els passatges"
Situation,Die Situation,Die Situationen,Die,Situation,situation,1,"Die Situation, Die Situationen","La situació, les situacions"
Counter,Die Theke,Die Theken,Die,Theke,theke,1,"Die Theke, Die Theken","El taulell, els taulells"
Neighbor,Der Nachbar,Die Nachbarn,Der,Nachbar,nachbar,0,"Der Nachbar, Die Nachbarn","El veí, els veïns"
Photo,Das Foto,Die Fotos,Das,Foto,foto,2,"Das Foto, Die Fotos","La foto, les fotos"
Stage,Die Bühne,Die Bühnen,Die,Bühne,bühne,1,"Die Bühne, Die Bühnen","L'escenari, els escenaris"
Meeting,Das Treffen,Die Treffen,Das,Treffen,treffen,2,"Das Treffen, Die Treffen","La trobada, les trobades"
Nurse,Die Krankenschwester,Die Krankenschwestern,Die,Krankenschwester,krankenschwester,1,"Die Krankenschwester, Die Krankenschwestern","La infermera, les infermeres"
Security,Die Sicherheit,Die Sicherheiten,Die,Sicherheit,sicherheit,1,"Die Sicherheit, Die Sicherheiten","la Seguretat, les seguretats"
Weapon,Die Waffe,Die Waffen,Die,Waffe,waffe,1,"Die Waffe, Die Waffen","L'arma, les armes"
Event,Das Ereignis,Die Ereignisse,Das,Ereignis,ereignis,2,"Das Ereignis, Die Ereignisse","L'esdeveniment, els esdeveniments"
Ceiling,Die Decke,Die Decken,Die,Decke,decke,1,"Die Decke, Die Decken","El sostre, els sostres"
Engine,Der Motor,Die Motoren,Der,Motor,motor,0,"Der Motor, Die Motoren","El motor, els motors"
Gift,Das Geschenk,Die Geschenke,Das,Geschenk,geschenk,2,"Das Geschenk, Die Geschenke","El regal, els regals"
Restaurant,Das Restaurant,Die Restaurants,Das,Restaurant,restaurant,2,"Das Restaurant, Die Restaurants","El Restaurant, Els Restaurants"
Board,Das Brett,Die Bretter,Das,Brett,brett,2,"Das Brett, Die Bretter","El tauler, els taulers"
Hallway,Der Flur,Die Flure,Der,Flur,flur,0,"Der Flur, Die Flure","El passadís, els passadissos"
Army,Die Armee,-,Die,Armee,armee,1,"Die Armee, -","L'exèrcit, els exèrcits"
Effort,Der Aufwand,Die Aufwände,Der,Aufwand,aufwand,0,"Der Aufwand, Die Aufwände","L'esforç, els esforços"
East,Der Osten,-,Der,Osten,osten,0,"Der Osten, -","L'Orient, els orients"
Agent,Der Agent,Die Agenten,Der,Agent,agent,0,"Der Agent, Die Agenten","L'agent, els agents"
Future,Die Zukunft,Die Zukunft,Die,Zukunft,zukunft,1,"Die Zukunft, Die Zukunft","El futur, el futur"
Pant,Die Hose,Die Hosen,Die,Hose,hose,1,"Die Hose, Die Hosen","Els pantalons, els pantalons"
Leather,Das Leder,-,Das,Leder,leder,2,"Das Leder, -","El cuir, -"
Flight,Der Flug,Die Flüge,Der,Flug,flug,0,"Der Flug, Die Flüge","El vol, els vols"
Sex,Der Sex,-,Der,Sex,sex,0,"Der Sex, -","el sexe, els sexes"
Court,Das Gericht,Die Gerichte,Das,Gericht,gericht,2,"Das Gericht, Die Gerichte","El tribunal, els tribunals"
Course,Der Kurs,Die Kurse,Der,Kurs,kurs,0,"Der Kurs, Die Kurse","El Curs, Els Cursos"
Dirt,Der Schmutz,-,Der,Schmutz,schmutz,0,"Der Schmutz, -","La brutícia, -"
Egg,Das Ei,Die Eier,Das,Ei,ei,2,"Das Ei, Die Eier","L'ou, els ous"
Chin,Das Kinn,Die Kinne,Das,Kinn,kinn,2,"Das Kinn, Die Kinne","La barbeta, la barbeta"
Stranger,Der Fremde,Die Fremden,Der,Fremde,fremde,0,"Der Fremde, Die Fremden","L'estrany, els estranys"
Pleasure,Das Vergnügen,Die Vergnügen,Das,Vergnügen,vergnügen,2,"Das Vergnügen, Die Vergnügen","El plaer, els plaers"
Detail,Das Detail,Die Details,Das,Detail,detail,2,"Das Detail, Die Details","El detall, els detalls"
Crew,Die Besatzung,Die Besatzungen,Die,Besatzung,besatzung,1,"Die Besatzung, Die Besatzungen","La tripulació, les tripulacions"
Fall,Der Herbst,Die Fälle,Der,Herbst,herbst,0,"Der Herbst, Die Fälle","la tardor, -"
Guest,Der Gast,Die Gäste,Der,Gast,gast,0,"Der Gast, Die Gäste","El convidat, els convidats"
Experience,Die Erfahrung,Die Erfahrungen,Die,Erfahrung,erfahrung,1,"Die Erfahrung, Die Erfahrungen","L'experiència, les experiències"
Joke,Der Witz,Die Witze,Der,Witz,witz,0,"Der Witz, Die Witze","La broma, les bromes"
Sand,Der Sand,-,Der,Sand,sand,0,"Der Sand, -","La sorra, -"
Fist,Die Faust,Die Fäuste,Die,Faust,faust,1,"Die Faust, Die Fäuste","El puny, els punys"
Action,Die Aktion,Die Aktionen,Die,Aktion,aktion,1,"Die Aktion, Die Aktionen","L'acció, les accions"
Walk,Der Spaziergang,Die Spaziergänge,Der,Spaziergang,spaziergang,0,"Der Spaziergang, Die Spaziergänge","El passeig, els passejos"
Wedding,Die Hochzeit,Die Hochzeiten,Die,Hochzeit,hochzeit,1,"Die Hochzeit, Die Hochzeiten","El casament, els casaments"
Deal,Das Geschäft,Die Geschäfte,Das,Geschäft,geschäft,2,"Das Geschäft, Die Geschäfte","El negoci, les botigues"
Nature,Die Natur,-,Die,Natur,natur,1,"Die Natur, -","la natura, les natures"
Planet,Der Planet,Die Planeten,Der,Planet,planet,0,"Der Planet, Die Planeten","El planeta, els planetes"
Cousin,Der Cousin,Die Cousins,Der,Cousin,cousin,0,"Der Cousin, Die Cousins","Els cosins, els cosins"
Movement,Die Bewegung,Die Bewegungen,Die,Bewegung,bewegung,1,"Die Bewegung, Die Bewegungen","El moviment, els moviments"
Flesh,Das Fleisch,-,Das,Fleisch,fleisch,2,"Das Fleisch, -","La carn, -"
Record,Der Rekord,Die Rekorde,Der,Rekord,rekord,0,"Der Rekord, Die Rekorde","El registre, els registres"
Camp,Das Lager,Die Lager,Das,Lager,lager,2,"Das Lager, Die Lager","El campament, els campaments"
Newspaper,Die Zeitung,Die Zeitungen,Die,Zeitung,zeitung,1,"Die Zeitung, Die Zeitungen","El diari, els diaris"
Ray,Der Strahl,Die Strahlen,Der,Strahl,strahl,0,"Der Strahl, Die Strahlen","El raig, els raigs"
Human,Der Mensch,Die Menschen,Der,Mensch,mensch,0,"Der Mensch, Die Menschen","la gent, les gents"
Couch,Die Couch,Die Couches,Die,Couch,couch,1,"Die Couch, Die Couches","El sofà, els sofàs"
Motion,Die Bewegung,Die Bewegungen,Die,Bewegung,bewegung,1,"Die Bewegung, Die Bewegungen","El moviment, els moviments"
Grandfather,Der Großvater,Die Großväter,Der,Großvater,großvater,0,"Der Großvater, Die Großväter","L'avi, els avis"
Photograph,Das Foto,Die Fotos,Das,Foto,foto,2,"Das Foto, Die Fotos","La foto, les fotos"
Secret,Das Geheimnis,Die Geheimnisse,Das,Geheimnis,geheimnis,2,"Das Geheimnis, Die Geheimnisse","El secret, els secrets"
Beauty,Die Schönheit,Die Schönheiten,Die,Schönheit,schönheit,1,"Die Schönheit, Die Schönheiten","La bellesa, les belleses"
Presence,Die Anwesenheit,-,Die,Anwesenheit,anwesenheit,1,"Die Anwesenheit, -","La presència, -"
Bell,Die Glocke,Die Glocken,Die,Glocke,glocke,1,"Die Glocke, Die Glocken","La campana, les campanes"
